n,instances,mean_gap_percent,mean_memory_size,mean_frequency_memory_size,mean_facilities_nonzero_frequency,mean_k_core_size,mean_densest_subgraph_size,mean_k_core_intersection,mean_densest_intersection,mean_k_core_intersection_fraction,mean_densest_intersection_fraction,mean_k_core_densest_iou
100,5,0.0,43.2,4.8,18.4,18.2,16.4,18.2,16.4,1.0,1.0,0.8650607846260021
200,5,0.0,80.0,8.6,34.8,33.6,29.2,33.2,29.2,0.9918367346938777,1.0,0.8846938775510204
300,5,0.01156737998843262,104.0,10.8,53.2,47.8,42.0,47.6,42.0,0.9982300884955752,1.0,0.8855070936929345
400,5,0.015347614552532396,161.4,16.6,68.4,62.8,56.4,60.6,56.4,0.9821212121212121,1.0,0.9123622082384969
500,5,0.0,190.2,19.2,89.6,75.0,67.4,72.8,67.4,0.9868541033434651,1.0,0.8287855633148687
600,5,0.06445003099283068,244.2,24.8,109.8,96.4,84.0,93.8,83.8,0.9854864433811802,0.9985185185185184,0.8413831782252835
700,4,0.01659475605708596,187.75,19.25,76.25,65.0,59.0,62.25,59.0,0.9777092186989212,1.0,0.834645490537939
800,3,0.0,171.66666666666666,17.666666666666668,42.0,37.666666666666664,32.666666666666664,37.666666666666664,32.666666666666664,1.0,1.0,0.7841269841269841
900,3,0.013000520020800833,180.33333333333334,18.666666666666668,49.666666666666664,40.0,37.0,39.333333333333336,37.0,0.9931972789115647,1.0,0.902668759811617
